# time(ISO) elevation(m) distance(km) velocity(km/h)
2015-03-20T06:37:05 1364.210000 2.618506 1.823244
2015-03-20T06:37:21 1366.500000 2.629751 2.530081
2015-03-20T06:37:22 1366.490000 2.631710 7.053099
2015-03-20T06:37:24 1366.780000 2.633557 3.324164
2015-03-20T06:37:26 1367.500000 2.635971 4.345116
2015-03-20T06:37:42 1370.480000 2.647018 2.485642
2015-03-20T06:37:57 1373.470000 2.654404 1.772509
2015-03-20T06:38:10 1375.400000 2.662718 2.302351
2015-03-20T06:38:22 1377.190000 2.672107 2.816655
2015-03-20T06:38:23 1377.310000 2.672601 1.778304
2015-03-20T06:38:30 1378.670000 2.676709 2.112901
2015-03-20T06:38:34 1379.310000 2.680641 3.538520
2015-03-20T06:38:48 1382.250000 2.689671 2.321973
2015-03-20T06:38:58 1382.230000 2.694274 1.657203
2015-03-20T06:39:13 1384.020000 2.709105 3.559406
2015-03-20T06:39:29 1386.360000 2.719661 2.375204
2015-03-20T06:39:37 1388.160000 2.725484 2.620323
2015-03-20T06:39:44 1389.540000 2.731585 3.137489
2015-03-20T06:39:58 1392.330000 2.738755 1.843776
2015-03-20T06:40:13 1394.630000 2.750683 2.862768
2015-03-20T06:40:26 1396.400000 2.766987 4.514860
2015-03-20T06:40:34 1397.500000 2.773359 2.867647
2015-03-20T06:40:47 1399.310000 2.787091 3.802540
2015-03-20T06:40:52 1400.780000 2.789726 1.897179
2015-03-20T06:41:07 1402.600000 2.792313 0.620952
2015-03-20T06:41:22 1400.370000 2.797873 1.334389
2015-03-20T06:41:39 1400.500000 2.801811 0.833933
2015-03-20T06:41:44 1400.470000 2.804650 2.043823
2015-03-20T06:41:52 1399.580000 2.807266 1.177328
2015-03-20T06:42:09 1399.390000 2.812795 1.170853
2015-03-20T06:42:18 1400.080000 2.815237 0.976817
2015-03-20T06:42:35 1401.260000 2.819619 0.927983
2015-03-20T06:42:43 1402.490000 2.823544 1.766012
2015-03-20T06:42:59 1402.450000 2.824779 0.278025
2015-03-20T06:43:16 1402.340000 2.830261 1.160904
2015-03-20T06:43:31 1402.840000 2.832541 0.546993
2015-03-20T06:43:45 1402.750000 2.840328 2.002493
2015-03-20T06:43:55 1402.640000 2.841444 0.401628
2015-03-20T06:44:10 1402.380000 2.844514 0.736876
2015-03-20T06:44:26 1402.330000 2.852531 1.803891
2015-03-20T06:44:31 1402.400000 2.853939 1.013783
2015-03-20T06:44:43 1402.420000 2.856467 0.758358
2015-03-20T06:44:56 1402.290000 2.860481 1.111482
2015-03-20T06:45:14 1402.170000 2.866736 1.250984
2015-03-20T06:45:24 1402.500000 2.875666 3.214778
2015-03-20T06:45:38 1402.500000 2.877561 0.487469
2015-03-20T06:45:44 1402.600000 2.880364 1.681782
2015-03-20T06:45:59 1402.490000 2.893005 3.033669
2015-03-20T06:46:16 1402.610000 2.894348 0.284556
2015-03-20T06:46:33 1404.120000 2.902705 1.769603
2015-03-20T06:46:47 1406.020000 2.917396 3.777732
2015-03-20T06:46:54 1406.610000 2.922752 2.754282
2015-03-20T06:46:59 1407.250000 2.928176 3.905268
2015-03-20T06:47:01 1407.390000 2.930302 3.827870
2015-03-20T06:47:15 1408.370000 2.943571 3.411959
2015-03-20T06:47:21 1408.370000 2.945456 1.131085
2015-03-20T06:47:29 1408.240000 2.955306 4.432524
2015-03-20T06:47:33 1408.620000 2.960058 4.276898
2015-03-20T06:47:40 1408.790000 2.968884 4.538978
2015-03-20T06:47:47 1409.760000 2.974949 3.118939
2015-03-20T06:48:00 1411.210000 2.987256 3.408201
2015-03-20T06:48:13 1410.270000 3.002548 4.234822
2015-03-20T06:48:27 1411.440000 3.015154 3.241553
2015-03-20T06:48:52 1412.850000 3.035612 2.945849
2015-03-20T06:49:14 1412.510000 3.059691 3.940306
2015-03-20T06:49:39 1413.490000 3.085362 3.696626
2015-03-20T06:50:04 1414.700000 3.113004 3.980459
2015-03-20T06:50:25 1414.690000 3.140511 4.715468
2015-03-20T06:50:27 1414.340000 3.143097 4.654868
2015-03-20T06:50:39 1414.440000 3.153534 3.131057
2015-03-20T06:50:52 1417.080000 3.160129 1.826201
2015-03-20T06:51:02 1417.150000 3.168911 3.161495
2015-03-20T06:51:27 1419.660000 3.190244 3.071951
2015-03-20T06:51:46 1419.330000 3.217481 5.160737
2015-03-20T06:51:59 1420.180000 3.230614 3.636952
2015-03-20T06:52:01 1420.260000 3.233060 4.401514
2015-03-20T06:52:16 1420.360000 3.252420 4.646513
2015-03-20T06:52:30 1421.480000 3.266150 3.530562
2015-03-20T06:52:44 1421.750000 3.280649 3.728312
2015-03-20T06:52:59 1421.080000 3.299691 4.570011
2015-03-20T06:53:07 1421.430000 3.308825 4.110177
2015-03-20T06:53:21 1423.010000 3.323163 3.686957
2015-03-20T06:53:32 1425.760000 3.332265 2.978786
2015-03-20T06:53:49 1429.090000 3.344077 2.501415
2015-03-20T06:54:10 1432.230000 3.357748 2.343629
2015-03-20T06:54:39 1434.010000 3.362411 0.578828
2015-03-20T06:55:03 1437.100000 3.377143 2.209762
2015-03-20T06:55:27 1440.260000 3.396369 2.883906
2015-03-20T06:55:50 1443.410000 3.416822 3.201340
2015-03-20T06:55:54 1443.680000 3.421177 3.919906
2015-03-20T06:56:13 1443.850000 3.440487 3.658692
2015-03-20T06:56:40 1445.920000 3.463598 3.081538
2015-03-20T06:57:02 1448.800000 3.493896 4.957715
2015-03-20T06:57:21 1450.720000 3.503484 1.816782
2015-03-20T06:57:31 1450.220000 3.506310 1.017182
2015-03-20T06:57:40 1451.430000 3.514564 3.301626
2015-03-20T06:57:51 1452.140000 3.523657 2.975986
2015-03-20T06:57:57 1451.430000 3.534522 6.518878
2015-03-20T06:58:07 1451.570000 3.540323 2.088416
2015-03-20T06:58:32 1453.580000 3.569043 4.135692
2015-03-20T06:58:51 1456.600000 3.590660 4.095950
2015-03-20T06:59:13 1459.330000 3.617643 4.415306
2015-03-20T06:59:23 1460.370000 3.630856 4.756643
2015-03-20T06:59:33 1460.750000 3.645490 5.268446
2015-03-20T06:59:37 1460.830000 3.650978 4.938872
2015-03-20T06:59:46 1460.890000 3.663421 4.977383
2015-03-20T07:00:00 1461.940000 3.679829 4.219052
2015-03-20T07:00:13 1465.080000 3.692070 3.389880
2015-03-20T07:00:29 1467.990000 3.703499 2.571503
2015-03-20T07:00:36 1468.940000 3.710108 3.398879
2015-03-20T07:01:00 1471.100000 3.734658 3.682577
2015-03-20T07:01:01 1471.250000 3.736058 5.039321
2015-03-20T07:01:09 1472.530000 3.744334 3.723967
2015-03-20T07:01:23 1474.560000 3.758134 3.548752
2015-03-20T07:01:29 1475.540000 3.765511 4.426197
2015-03-20T07:01:37 1476.570000 3.772019 2.928607
2015-03-20T07:01:42 1477.520000 3.778767 4.858083
2015-03-20T07:01:47 1478.570000 3.783078 3.104071
2015-03-20T07:01:55 1479.620000 3.793624 4.745801
2015-03-20T07:01:59 1480.270000 3.798366 4.267872
2015-03-20T07:02:14 1482.410000 3.812502 3.392537
2015-03-20T07:02:25 1484.830000 3.824314 3.865822
2015-03-20T07:02:33 1485.960000 3.831317 3.151460
2015-03-20T07:02:43 1488.370000 3.839591 2.978493
2015-03-20T07:03:00 1491.470000 3.850731 2.358971
